Feedback,Sentiment,Category
"Overall, the WiFi experiance has been great this semester.",Positive,WiFi
The Transport team is supportive and responsive.,Positive,Transport
The Library service is excelent and really helps students.,Positive,Library
The Lab experiance is neither good nor bad. The management should take note.,Neutral,Lab
The Library department is satisfactory.,Neutral,Library
I am very satisfied with the Classroom facilities provided by the college. Please look into this issue soon.,Positive,Classroom
The Placement facilities are average.,Neutral,Placement
The Placement facilities are well maintained and useful.,Positive,Placement
The Lab facilities are average.,Neutral,Lab
The Hostel department is satisfactory.,Neutral,Hostel
The Sports system is slow and causes inconvenience. Please look into this issue soon.,Negative,Sports
The Library facilities are well maintained and useful. It saves a lot of time.,Positive,Library
The Hostel experiance has been poor recently.,Negative,Hostel
The Classroom team is supportive and responsive. It saves a lot of time.,Positive,Classroom
The Lab department is satisfactory.,Neutral,Lab
I have mixed opinions about the WiFi facilities.,Neutral,WiFi
The Hostel service is excellent and really helps students.,Positive,Hostel
The Lab team is supportive and responsive.,Positive,Lab
There are frequent issues related to Hostel.,Negative,Hostel
I am disappointed with the quality of the Hostel service.,Negative,Hostel
I am disappointed with the quality of the Library service.,Negative,Library
I am very satisfied with the Hostel facilities provided by the college.,Positive,Hostel
The Placement experience has been poor recently. It saves a lot of time.,Negative,Placement
I am very satisfied with the Classroom facilities provided by the college. Please look into this issue soon.,Positive,Classroom
"Overall, the Library experience has been great this semester.",Positive,Library
I am very satisfied with the Canteen facilities provided by the college.,Positive,Canteen
I am disappointed with the quality of the Sports service.,Negative,Sports
The Sports facilities are average.,Neutral,Sports
There are frequent issues related to Transport.,Negative,Transport
I am very satisfied with the Classroom facilities provided by the college. Please look into this issue soon.,Positive,Classroom
The Lab experience has been poor recently. I would recommend maintaining this standard.,Negative,Lab
The Transport team is supportive and responsive.,Positive,Transport
The Library experience is neither good nor bad. This has affected many students.,Neutral,Library
There are frequent issues related to Sports. It saves a lot of time.,Negative,Sports
There are frequent issues related to Hostel. Please look into this issue soon.,Negative,Hostel
I have mixed opinions about the WiFi facilities.,Neutral,WiFi
I am very satisfied with the Transport facilities provided by the college.,Positive,Transport
The Placement department is satisfactory.,Neutral,Placement
The Canteen facilities are average.,Neutral,Canteen
The WiFi team is supportive and responsive.,Positive,WiFi
I am disappointed with the quality of the Transport service.,Negative,Transport
"Overall, the Library experience has been great this semester.",Positive,Library
The Transport system is slow and causes inconvenience.,Negative,Transport
The Canteen system is slow and causes inconvenience. The management should take note.,Negative,Canteen
I have mixed opinions about the Hostel facilities.,Neutral,Hostel
I am very satisfied with the Library facilities provided by the college.,Positive,Library
The Hostel department is satisfactory.,Neutral,Hostel
The WiFi facilties are average.,Neutral,WiFi
The Classroom service is okay but could be improved.,Neutral,Classroom
"Overall, the WiFi experience has been great this semester.",Positive,WiFi
The Lab servise is okay but could be improved. Please look into this issue soon.,Neutral,Lab
I am disappointed with the quality of the Sports service.,Negative,Sports
I have mixed opinions about the Hostel facilties. The management should take note.,Neutral,Hostel
The Faculty facilities are average.,Neutral,Faculty
I am very satisfied with the Classroom facilities provided by the college. Please look into this issue soon.,Positive,Classroom
I have mixed opinions about the Library facilities. It saves a lot of time.,Neutral,Library
I have mixed opinions about the Faculty facilities.,Neutral,Faculty
The Transport experience has been poor recently. Please look into this issue soon.,Negative,Transport
I am disappointed with the quality of the Faculty service.,Negative,Faculty
I am very satisfied with the Placement facilities provided by the college.,Positive,Placement
The Transport team is supportive and responsive.,Positive,Transport
The Hostel facilities are well maintained and useful. Please look into this issue soon.,Positive,Hostel
The Lab experience is neither good nor bad.,Neutral,Lab
The Lab system is slow and causes inconvenience.,Negative,Lab
The Transport team is supportive and responsive.,Positive,Transport
The Hostel service is okay but could be improved.,Neutral,Hostel
The Canteen servise is okay but could be improved.,Neutral,Canteen
There are frequent issues related to Lab. Please look into this issue soon.,Negative,Lab
